tx,ty,tz,rx,ry,rz,sx,sy,sz,frame
0.0,224.793,0.0,0.0,0.0,0.0,1.0,1.0,1.0,60.0
0.0,224.793,0.0,-10.101,-1.414,-0.476,1.0,1.0,1.0,50.0
0.0,224.793,0.0,-5.51,-1.45,-0.261,1.0,1.0,1.0,41.0
0.0,224.793,0.0,1.699,-1.024,21.005,1.0,1.0,1.0,49.0
0.0,224.793,0.0,9.733,-6.339,-15.304,1.0,1.0,1.0,40.0
0.0,138.661,0.0,26.324,-25.082,8.287,1.0,1.0,1.0,40.0
0.0,35.161,51.649,53.141,30.668,3.403,1.0,1.0,1.0,20.0
0.0,-86.8,65.878,58.274,-31.943,2.058,1.0,1.0,1.0,28.0
0.0,-613.638,65.878,58.274,16.364,2.058,1.0,1.0,1.0,32.0
0.0,-1018.349,128.809,68.237,-3.369,0.948,1.0,1.0,1.0,1.0
