tx,ty,tz,rx,ry,rz,sx,sy,sz,frame
31.217,-34.042,20.302,0.0,0.0,0.0,1.0,1.0,1.0,45.0
31.217,-34.042,20.302,-25.549,0.0,0.0,1.0,1.0,1.0,25.0
31.217,-34.042,20.302,27.81,0.0,0.0,1.0,1.0,1.0,27.0
31.217,-34.042,20.302,-21.114,0.0,0.0,1.0,1.0,1.0,22.0
31.217,-34.042,20.302,27.226,0.0,0.0,1.0,1.0,1.0,17.0
31.217,-34.042,20.302,-16.678,0.0,0.0,1.0,1.0,1.0,20.0
31.217,-34.042,20.302,12.781,0.0,0.0,1.0,1.0,1.0,19.0
31.217,-34.042,20.302,-23.156,0.0,0.0,1.0,1.0,1.0,11.0
31.217,-34.042,20.302,2.599,0.0,0.0,1.0,1.0,1.0,14.0
31.217,-34.042,20.302,0.0,0.0,0.0,1.0,1.0,1.0,1.0
