tx,ty,tz,rx,ry,rz,sx,sy,sz,frame
0.022,0.005,-0.028,-0.0,-0.0,-0.0,1.0,1.0,1.0,2.5
0.022,0.018,-0.028,-0.0,-0.0,-0.0,1.0,1.0,1.0,2.5
0.022,0.037,-0.028,-0.0,-0.0,-0.0,1.0,1.0,1.0,2.5
0.022,0.062,-0.028,-0.0,-0.0,-0.0,1.0,1.0,1.0,2.5
0.022,0.09,-0.028,-0.0,-0.0,-0.0,1.0,1.0,1.0,2.5
0.022,0.119,-0.028,-0.0,-0.0,-0.0,1.0,1.0,1.0,2.5
0.022,0.149,-0.028,-0.0,-0.0,-0.0,1.0,1.0,1.0,2.5
0.022,0.177,-0.028,-0.0,-0.0,-0.0,1.0,1.0,1.0,2.5
0.022,0.202,-0.028,-0.0,-0.0,-0.0,1.0,1.0,1.0,2.5
0.022,0.221,-0.028,-0.0,-0.0,-0.0,1.0,1.0,1.0,2.5
0.022,0.234,-0.028,-0.0,-0.0,-0.0,1.0,1.0,1.0,2.5
0.022,0.239,-0.028,-0.0,-0.0,-0.0,1.0,1.0,1.0,2.5
0.022,0.236,-0.028,-0.0,-0.0,-0.0,1.0,1.0,1.0,2.5
0.022,0.227,-0.028,-0.0,-0.0,-0.0,1.0,1.0,1.0,2.5
0.022,0.214,-0.028,-0.0,-0.0,-0.0,1.0,1.0,1.0,2.5
0.022,0.197,-0.028,-0.0,-0.0,-0.0,1.0,1.0,1.0,2.5
0.022,0.177,-0.028,-0.0,-0.0,-0.0,1.0,1.0,1.0,2.5
0.022,0.155,-0.028,-0.0,-0.0,-0.0,1.0,1.0,1.0,2.5
0.022,0.131,-0.028,-0.0,-0.0,-0.0,1.0,1.0,1.0,2.5
0.022,0.108,-0.028,-0.0,-0.0,-0.0,1.0,1.0,1.0,9.5
0.022,-0.174,-0.028,-0.0,-0.0,-0.0,1.0,1.0,1.0,5.0
0.022,-0.174,-0.028,-0.0,-0.0,-0.0,1.0,1.0,1.0,3.0
0.022,-0.174,-0.028,-0.0,-0.0,-0.0,1.0,1.0,1.0,2.0
0.022,-0.174,-0.028,-0.0,-0.0,-0.0,1.0,1.0,1.0,18.0
0.022,-0.094,-0.028,-0.0,-0.0,-0.0,1.0,1.0,1.0,1.0
