tx,ty,tz,rx,ry,rz,sx,sy,sz,frame
0.003,0.663,0.012,0.048,0.002,0.031,1.0,1.0,1.0,2.5
0.003,0.663,0.012,0.182,0.008,0.115,1.0,1.0,1.0,2.5
0.003,0.663,0.012,0.384,0.015,0.237,1.0,1.0,1.0,2.5
0.003,0.663,0.012,0.637,0.023,0.383,1.0,1.0,1.0,2.5
0.003,0.663,0.012,0.924,0.03,0.539,1.0,1.0,1.0,2.5
0.003,0.663,0.012,1.229,0.035,0.689,1.0,1.0,1.0,2.5
0.003,0.663,0.012,1.534,0.038,0.82,1.0,1.0,1.0,2.5
0.003,0.663,0.012,1.822,0.038,0.918,1.0,1.0,1.0,2.5
0.003,0.663,0.012,2.076,0.036,0.967,1.0,1.0,1.0,2.5
0.003,0.663,0.012,2.28,0.034,0.953,1.0,1.0,1.0,2.5
0.003,0.663,0.012,2.427,0.031,0.897,1.0,1.0,1.0,2.5
0.003,0.663,0.012,2.513,0.029,0.835,1.0,1.0,1.0,2.5
0.003,0.663,0.012,2.529,0.029,0.773,1.0,1.0,1.0,2.5
0.003,0.663,0.012,2.479,0.028,0.711,1.0,1.0,1.0,2.5
0.003,0.663,0.012,2.384,0.028,0.646,1.0,1.0,1.0,2.5
0.003,0.663,0.012,2.248,0.028,0.581,1.0,1.0,1.0,2.5
0.003,0.663,0.012,2.08,0.028,0.515,1.0,1.0,1.0,2.5
0.003,0.663,0.012,1.886,0.027,0.449,1.0,1.0,1.0,2.5
0.003,0.663,0.012,1.673,0.026,0.385,1.0,1.0,1.0,2.5
0.003,0.663,0.012,1.448,0.024,0.323,1.0,1.0,1.0,2.5
0.003,0.663,0.012,1.217,0.022,0.264,1.0,1.0,1.0,2.5
0.003,0.663,0.012,0.988,0.019,0.209,1.0,1.0,1.0,2.5
0.003,0.663,0.012,0.767,0.015,0.159,1.0,1.0,1.0,2.5
0.003,0.663,0.012,0.561,0.012,0.114,1.0,1.0,1.0,2.5
0.003,0.663,0.012,0.377,0.008,0.075,1.0,1.0,1.0,2.5
0.003,0.663,0.012,0.223,0.005,0.043,1.0,1.0,1.0,2.5
0.003,0.663,0.012,0.103,0.002,0.02,1.0,1.0,1.0,2.5
0.003,0.663,0.012,0.027,0.001,0.005,1.0,1.0,1.0,2.5
0.003,0.663,0.012,-0.0,0.0,-0.0,1.0,1.0,1.0,2.5
0.003,0.663,0.012,0.048,0.002,0.031,1.0,1.0,1.0,2.5
0.003,0.663,0.012,0.182,0.008,0.115,1.0,1.0,1.0,2.5
0.003,0.663,0.012,0.384,0.015,0.237,1.0,1.0,1.0,2.5
0.003,0.663,0.012,0.637,0.023,0.383,1.0,1.0,1.0,2.5
0.003,0.663,0.012,0.924,0.03,0.539,1.0,1.0,1.0,2.5
0.003,0.663,0.012,1.229,0.035,0.689,1.0,1.0,1.0,2.5
0.003,0.663,0.012,1.534,0.038,0.82,1.0,1.0,1.0,2.5
0.003,0.663,0.012,1.822,0.038,0.918,1.0,1.0,1.0,2.5
0.003,0.663,0.012,2.076,0.036,0.967,1.0,1.0,1.0,2.5
0.003,0.663,0.012,2.28,0.034,0.953,1.0,1.0,1.0,2.5
0.003,0.663,0.012,2.427,0.031,0.897,1.0,1.0,1.0,2.5
0.003,0.663,0.012,2.513,0.029,0.835,1.0,1.0,1.0,2.5
0.003,0.663,0.012,2.529,0.029,0.773,1.0,1.0,1.0,2.5
0.003,0.663,0.012,2.479,0.028,0.711,1.0,1.0,1.0,2.5
0.003,0.663,0.012,2.384,0.028,0.646,1.0,1.0,1.0,2.5
0.003,0.663,0.012,2.248,0.028,0.581,1.0,1.0,1.0,2.5
0.003,0.663,0.012,2.08,0.028,0.515,1.0,1.0,1.0,2.5
0.003,0.663,0.012,1.886,0.027,0.449,1.0,1.0,1.0,2.5
0.003,0.663,0.012,1.673,0.026,0.385,1.0,1.0,1.0,2.5
0.003,0.663,0.012,1.448,0.024,0.323,1.0,1.0,1.0,2.5
0.003,0.663,0.012,1.217,0.022,0.264,1.0,1.0,1.0,2.5
0.003,0.663,0.012,0.988,0.019,0.209,1.0,1.0,1.0,2.5
0.003,0.663,0.012,0.767,0.015,0.159,1.0,1.0,1.0,2.5
0.003,0.663,0.012,0.561,0.012,0.114,1.0,1.0,1.0,2.5
0.003,0.663,0.012,0.377,0.008,0.075,1.0,1.0,1.0,2.5
0.003,0.663,0.012,0.223,0.005,0.043,1.0,1.0,1.0,2.5
0.003,0.663,0.012,0.103,0.002,0.02,1.0,1.0,1.0,2.5
0.003,0.663,0.012,0.027,0.001,0.005,1.0,1.0,1.0,2.5
0.003,0.663,0.012,-0.0,0.0,-0.0,1.0,1.0,1.0,1.0
