tx,ty,tz,rx,ry,rz,sx,sy,sz,frame
-31.099,-34.694,15.43,0.0,0.0,0.0,1.0,1.0,1.0,50.0
-31.099,-34.694,15.43,8.131,0.0,0.0,1.0,1.0,1.0,23.0
-31.099,-34.694,15.43,-13.212,0.0,0.0,1.0,1.0,1.0,26.0
-31.099,-34.694,15.43,17.921,0.0,0.0,1.0,1.0,1.0,21.0
-31.099,-34.694,15.43,-18.257,0.0,0.0,1.0,1.0,1.0,20.0
-31.099,-34.694,15.43,10.431,0.0,0.0,1.0,1.0,1.0,17.0
-31.099,-34.694,15.43,-7.538,0.0,0.0,1.0,1.0,1.0,14.0
-31.099,-34.694,15.43,10.374,0.0,0.0,1.0,1.0,1.0,15.0
-31.099,-34.694,15.43,-12.8,0.0,0.0,1.0,1.0,1.0,14.0
-31.099,-34.694,15.43,0.0,0.0,0.0,1.0,1.0,1.0,1.0
