tx,ty,tz,rx,ry,rz,sx,sy,sz,frame
0.0,0.486,0.0,-0.0,-0.0,-0.0,1.0,1.0,1.0,2.5
0.0,0.486,0.0,-0.0,-0.0,-0.0,1.0,1.0,1.0,2.5
0.0,0.486,0.0,-0.0,-0.0,-0.0,1.0,1.0,1.0,2.5
0.0,0.486,0.0,-0.0,-0.0,-0.0,1.0,1.0,1.0,2.5
-0.0,0.486,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,2.5
-0.0,0.486,0.0,-0.0,0.0,0.0,1.0,1.0,1.0,2.5
0.0,0.486,0.0,-0.0,-0.0,-0.0,1.0,1.0,1.0,2.5
0.0,0.486,0.0,-0.0,-0.0,-0.0,1.0,1.0,1.0,2.5
0.0,0.486,0.0,-0.0,-0.0,-0.0,1.0,1.0,1.0,2.5
0.0,0.486,0.0,-0.0,-0.0,-0.0,1.0,1.0,1.0,2.5
0.0,0.486,0.0,-0.0,-0.0,-0.0,1.0,1.0,1.0,2.5
-0.0,0.486,-0.0,-0.0,-0.0,-0.0,1.0,1.0,1.0,2.5
0.0,0.486,0.0,-0.0,-0.0,-0.0,1.0,1.0,1.0,2.5
0.0,0.486,0.0,-0.0,-0.0,-0.0,1.0,1.0,1.0,24.5
-0.0,0.5,0.077,10.459,-0.133,0.038,1.0,1.0,1.0,28.0
-0.0,0.5,0.077,10.459,-0.133,0.038,1.0,1.0,1.0,1.0
