tx,ty,tz,rx,ry,rz,sx,sy,sz,frame
0.002,0.498,0.008,0.045,0.002,0.022,1.0,1.0,1.0,2.5
0.002,0.498,0.008,0.171,0.009,0.085,1.0,1.0,1.0,2.5
0.002,0.498,0.008,0.366,0.018,0.182,1.0,1.0,1.0,2.5
0.002,0.498,0.008,0.617,0.029,0.307,1.0,1.0,1.0,2.5
0.002,0.498,0.008,0.912,0.04,0.454,1.0,1.0,1.0,2.5
0.002,0.498,0.008,1.237,0.051,0.616,1.0,1.0,1.0,2.5
0.002,0.498,0.008,1.58,0.06,0.789,1.0,1.0,1.0,2.5
0.002,0.498,0.008,1.929,0.066,0.965,1.0,1.0,1.0,2.5
0.002,0.498,0.008,2.27,0.07,1.138,1.0,1.0,1.0,2.5
0.002,0.498,0.008,2.591,0.072,1.303,1.0,1.0,1.0,2.5
0.002,0.498,0.008,2.879,0.072,1.452,1.0,1.0,1.0,2.5
0.002,0.498,0.008,3.122,0.071,1.58,1.0,1.0,1.0,2.5
0.002,0.498,0.008,3.307,0.069,1.68,1.0,1.0,1.0,2.5
0.002,0.498,0.008,3.421,0.068,1.747,1.0,1.0,1.0,2.5
0.002,0.498,0.008,3.452,0.068,1.773,1.0,1.0,1.0,2.5
0.002,0.498,0.008,3.387,0.069,1.751,1.0,1.0,1.0,2.5
0.002,0.498,0.008,3.216,0.071,1.688,1.0,1.0,1.0,2.5
0.002,0.498,0.008,2.933,0.075,1.596,1.0,1.0,1.0,2.5
0.002,0.498,0.008,2.582,0.078,1.475,1.0,1.0,1.0,2.5
0.002,0.498,0.008,2.22,0.078,1.321,1.0,1.0,1.0,2.5
0.002,0.498,0.008,1.855,0.074,1.143,1.0,1.0,1.0,2.5
0.002,0.498,0.008,1.498,0.067,0.951,1.0,1.0,1.0,2.5
0.002,0.498,0.008,1.157,0.058,0.755,1.0,1.0,1.0,2.5
0.002,0.498,0.008,0.843,0.046,0.563,1.0,1.0,1.0,2.5
0.002,0.498,0.008,0.565,0.033,0.385,1.0,1.0,1.0,2.5
0.002,0.498,0.008,0.332,0.021,0.231,1.0,1.0,1.0,2.5
0.002,0.498,0.008,0.154,0.01,0.109,1.0,1.0,1.0,2.5
0.002,0.498,0.008,0.04,0.003,0.029,1.0,1.0,1.0,2.5
0.002,0.498,0.008,-0.0,0.0,0.0,1.0,1.0,1.0,2.5
0.002,0.498,0.008,0.045,0.002,0.022,1.0,1.0,1.0,2.5
0.002,0.498,0.008,0.171,0.009,0.085,1.0,1.0,1.0,2.5
0.002,0.498,0.008,0.366,0.018,0.182,1.0,1.0,1.0,2.5
0.002,0.498,0.008,0.617,0.029,0.307,1.0,1.0,1.0,2.5
0.002,0.498,0.008,0.912,0.04,0.454,1.0,1.0,1.0,2.5
0.002,0.498,0.008,1.237,0.051,0.616,1.0,1.0,1.0,2.5
0.002,0.498,0.008,1.58,0.06,0.789,1.0,1.0,1.0,2.5
0.002,0.498,0.008,1.929,0.066,0.965,1.0,1.0,1.0,2.5
0.002,0.498,0.008,2.27,0.07,1.138,1.0,1.0,1.0,2.5
0.002,0.498,0.008,2.591,0.072,1.303,1.0,1.0,1.0,2.5
0.002,0.498,0.008,2.879,0.072,1.452,1.0,1.0,1.0,2.5
0.002,0.498,0.008,3.122,0.071,1.58,1.0,1.0,1.0,2.5
0.002,0.498,0.008,3.307,0.069,1.68,1.0,1.0,1.0,2.5
0.002,0.498,0.008,3.421,0.068,1.747,1.0,1.0,1.0,2.5
0.002,0.498,0.008,3.452,0.068,1.773,1.0,1.0,1.0,2.5
0.002,0.498,0.008,3.387,0.069,1.751,1.0,1.0,1.0,2.5
0.002,0.498,0.008,3.216,0.071,1.688,1.0,1.0,1.0,2.5
0.002,0.498,0.008,2.933,0.075,1.596,1.0,1.0,1.0,2.5
0.002,0.498,0.008,2.582,0.078,1.475,1.0,1.0,1.0,2.5
0.002,0.498,0.008,2.22,0.078,1.321,1.0,1.0,1.0,2.5
0.002,0.498,0.008,1.855,0.074,1.143,1.0,1.0,1.0,2.5
0.002,0.498,0.008,1.498,0.067,0.951,1.0,1.0,1.0,2.5
0.002,0.498,0.008,1.157,0.058,0.755,1.0,1.0,1.0,2.5
0.002,0.498,0.008,0.843,0.046,0.563,1.0,1.0,1.0,2.5
0.002,0.498,0.008,0.565,0.033,0.385,1.0,1.0,1.0,2.5
0.002,0.498,0.008,0.332,0.021,0.231,1.0,1.0,1.0,2.5
0.002,0.498,0.008,0.154,0.01,0.109,1.0,1.0,1.0,2.5
0.002,0.498,0.008,0.04,0.003,0.029,1.0,1.0,1.0,2.5
0.002,0.498,0.008,-0.0,0.0,0.0,1.0,1.0,1.0,1.0
