tx,ty,tz
-500.0,-5.0,500.0
-500.0,-5.0,475.0
-500.0,-5.0,450.0
-500.0,-5.0,425.0
-500.0,-5.0,400.0
-500.0,-5.0,375.0
-500.0,-5.0,350.0
-500.0,-5.0,325.0
-500.0,-5.0,300.0
-500.0,-5.0,275.0
-500.0,-5.0,250.0
-500.0,-5.0,225.0
-500.0,-5.0,200.0
-500.0,-5.0,175.0
-500.0,-5.0,150.0
-500.0,-5.0,125.0
-500.0,-5.0,100.0
-500.0,-5.0,75.0
-500.0,-5.0,50.0
-500.0,-5.0,25.0
-500.0,-5.0,0.0
-500.0,-5.0,-25.0
-500.0,-5.0,-50.0
-500.0,-5.0,-75.0
-500.0,-5.0,-100.0
-500.0,-5.0,-125.0
-500.0,-5.0,-150.0
-500.0,-5.0,-175.0
-500.0,-5.0,-200.0
-500.0,-5.0,-225.0
-500.0,-5.0,-250.0
-500.0,-5.0,-275.0
-500.0,-5.0,-300.0
-500.0,-5.0,-325.0
-500.0,-5.0,-350.0
-500.0,-5.0,-375.0
-500.0,-5.0,-400.0
-500.0,-5.0,-425.0
-500.0,-5.0,-450.0
-500.0,-5.0,-475.0
-500.0,-5.0,-500.0
-475.0,-5.0,500.0
-475.0,-5.0,475.0
-475.0,-5.0,450.0
-475.0,-5.0,425.0
-475.0,-5.0,400.0
-475.0,-5.0,375.0
-475.0,-5.0,350.0
-475.0,-5.0,325.0
-475.0,-5.0,300.0
-475.0,-5.0,275.0
-475.0,-5.0,250.0
-475.0,-5.0,225.0
-475.0,-5.0,200.0
-475.0,-5.0,175.0
-475.0,-5.0,150.0
-475.0,-5.0,125.0
-475.0,-5.0,100.0
-475.0,-5.0,75.0
-475.0,-5.0,50.0
-475.0,-5.0,25.0
-475.0,-5.0,0.0
-475.0,-5.0,-25.0
-475.0,-5.0,-50.0
-475.0,-5.0,-75.0
-475.0,-5.0,-100.0
-475.0,-5.0,-125.0
-475.0,-5.0,-150.0
-475.0,-5.0,-175.0
-475.0,-5.0,-200.0
-475.0,-5.0,-225.0
-475.0,-5.0,-250.0
-475.0,-5.0,-275.0
-475.0,-5.0,-300.0
-475.0,-5.0,-325.0
-475.0,-5.0,-350.0
-475.0,-5.0,-375.0
-475.0,-5.0,-400.0
-475.0,-5.0,-425.0
-475.0,-5.0,-450.0
-475.0,-5.0,-475.0
-475.0,-5.0,-500.0
-450.0,-5.0,500.0
-450.0,-5.0,475.0
-450.0,-5.0,450.0
-450.0,-5.0,425.0
-450.0,-5.0,400.0
-450.0,-5.0,375.0
-450.0,-5.0,350.0
-450.0,-5.0,325.0
-450.0,-5.0,300.0
-450.0,-5.0,275.0
-450.0,-5.0,250.0
-450.0,-5.0,225.0
-450.0,-5.0,200.0
-450.0,-5.0,175.0
-450.0,-5.0,150.0
-450.0,-5.0,125.0
-450.0,-5.0,100.0
-450.0,-5.0,75.0
-450.0,-5.0,50.0
-450.0,-5.0,25.0
-450.0,-5.0,0.0
-450.0,-5.0,-25.0
-450.0,-5.0,-50.0
-450.0,-5.0,-75.0
-450.0,-5.0,-100.0
-450.0,-5.0,-125.0
-450.0,-5.0,-150.0
-450.0,-5.0,-175.0
-450.0,-5.0,-200.0
-450.0,-5.0,-225.0
-450.0,-5.0,-250.0
-450.0,-5.0,-275.0
-450.0,-5.0,-300.0
-450.0,-5.0,-325.0
-450.0,-5.0,-350.0
-450.0,-5.0,-375.0
-450.0,-5.0,-400.0
-450.0,-5.0,-425.0
-450.0,-5.0,-450.0
-450.0,-5.0,-475.0
-450.0,-5.0,-500.0
-425.0,-5.0,500.0
-425.0,-5.0,475.0
-425.0,-5.0,450.0
-425.0,-5.0,425.0
-425.0,-5.0,400.0
-425.0,-5.0,375.0
-425.0,-5.0,350.0
-425.0,-5.0,325.0
-425.0,-5.0,300.0
-425.0,-5.0,275.0
-425.0,-5.0,250.0
-425.0,-5.0,225.0
-425.0,-5.0,200.0
-425.0,-5.0,175.0
-425.0,-5.0,150.0
-425.0,-5.0,125.0
-425.0,-5.0,100.0
-425.0,-5.0,75.0
-425.0,-5.0,50.0
-425.0,-5.0,25.0
-425.0,-5.0,0.0
-425.0,-5.0,-25.0
-425.0,-5.0,-50.0
-425.0,-5.0,-75.0
-425.0,-5.0,-100.0
-425.0,-5.0,-125.0
-425.0,-5.0,-150.0
-425.0,-5.0,-175.0
-425.0,-5.0,-200.0
-425.0,-5.0,-225.0
-425.0,-5.0,-250.0
-425.0,-5.0,-275.0
-425.0,-5.0,-300.0
-425.0,-5.0,-325.0
-425.0,-5.0,-350.0
-425.0,-5.0,-375.0
-425.0,-5.0,-400.0
-425.0,-5.0,-425.0
-425.0,-5.0,-450.0
-425.0,-5.0,-475.0
-425.0,-5.0,-500.0
-400.0,-5.0,500.0
-400.0,-5.0,475.0
-400.0,-5.0,450.0
-400.0,-5.0,425.0
-400.0,-5.0,400.0
-400.0,-5.0,375.0
-400.0,-5.0,350.0
-400.0,-5.0,325.0
-400.0,-5.0,300.0
-400.0,-5.0,275.0
-400.0,-5.0,250.0
-400.0,-5.0,225.0
-400.0,-5.0,200.0
-400.0,-5.0,175.0
-400.0,-5.0,150.0
-400.0,-5.0,125.0
-400.0,-5.0,100.0
-400.0,-5.0,75.0
-400.0,-5.0,50.0
-400.0,-5.0,25.0
-400.0,-5.0,0.0
-400.0,-5.0,-25.0
-400.0,-5.0,-50.0
-400.0,-5.0,-75.0
-400.0,-5.0,-100.0
-400.0,-5.0,-125.0
-400.0,-5.0,-150.0
-400.0,-5.0,-175.0
-400.0,-5.0,-200.0
-400.0,-5.0,-225.0
-400.0,-5.0,-250.0
-400.0,-5.0,-275.0
-400.0,-5.0,-300.0
-400.0,-5.0,-325.0
-400.0,-5.0,-350.0
-400.0,-5.0,-375.0
-400.0,-5.0,-400.0
-400.0,-5.0,-425.0
